code,name
GRK,Finnart
FRB,Fraserburgh
GRK,Furnace
GRK,Garlieston
AYR,Girvan
GLW,Glasgow
GRG,Grangemouth
GRK,Greenock
HPT,Hound Point Terminal
GRK,Hunterston
INV,Invergordon
GRG,Inverkeithing
INV,Inverness
IRV,Irvine
GRK,Islay
KKD,Kirkcaldy
KWL,Kirkwall
LEI,Leith
LER,Lerwick
INV,Lochaline
INV,Lossiemouth
FRB,Macduff
GRG,Methil
MON,Montrose
GRK,Oban
GRK,Palnackie
DUN,Perth
PHD,Peterhead
ROS,Rosyth
LER,Scalloway
INV,Scrabster
STO,Stornoway
GRK,Stranraer
KWL,Stromness
DUN,Tayport
INV,Ullapool
INV,Wick
BEL,Belfast
CLR,Coleraine
BEL,Larne
LDY,Londonderry
CLR,Portrush
WPT,Warrenpoint
ABZ,Aberdeen Airport
BFS,Belfast International Airport
BQH,Biggin Hill Airport
BHX,Birmingham Airport
BLK,Blackpool International Airport
BOH,Bournemouth (Hurn) Airport
BRS,Bristol Airport
CBG,Cambridge Airport
CWL,Cardiff (Wales) Airport
CVT,Coventry Airport
MME,Durham Tees Valley (Teesside) Airport
EMA,East Midlands Airport
EDI,Edinburgh Airport
EXT,Exeter Airport
FAB,Farnborough Airport
FZO,Filton Aerodrome (Bristol)
GLA,Glasgow Airport
HUY,Humberside International Airport
LBA,Leeds Bradford Airport
LPL,Liverpool John Lennon Airport
LYD,London Ashford (Lydd) Airport
LCY,London City Airport
LGW,London Gatwick Airport
LHR,London Heathrow Airport
LTN,London Luton Airport
LSA,London Stansted Airport
MAN,Manchester Airport
MSE,Manston Airport
NCL,Newcastle Airport
NQY,Newquay Airport
NWI,Norwich Airport
PLH,Plymouth Airport
PIK,Prestwick Airport
RWY,Ronaldsway Airport (Isle of Man)
ESH,Shoreham Airport
SOU,Southampton (Eastleigh) Airport
SEN,Southend Airport
LSI,Sumburgh Airport (Shetland)
ASD,Ashford
LBK,Barking
DAG,Dagenham
DVY,Daventry
NGO,Dollands Moor
KMK,Irvine
SCP,Scunthorpe
WDN,Widnes
DEU,Dover / Eurotunnel
EUT,Eurotunnel
HRH,Harwich International Port
KIL,Killingholme
MIL,Pembroke
PUF,Purfleet
